config,Tokens,Documents,Tokens/Document
bg_caselaw,179453583,104434,1718
cs_caselaw,208895704,104519,1998
da_caselaw,46535791,59328,784
de_caselaw,337759616,104228,3240
el_caselaw,386130014,105138,3672
en_caselaw,316782142,104422,3033
es_caselaw,312501137,104312,2995
et_caselaw,188899781,105111,1797
fi_caselaw,280391862,105119,2667
fr_caselaw,400304923,104228,3840
ga_caselaw,1322015,105205,12
hr_caselaw,108134448,104434,1035
hu_caselaw,206954585,105144,1968
it_caselaw,46071081,59116,779
lt_caselaw,202588185,105477,1920
lv_caselaw,205473532,105242,1952
mt_caselaw,320156230,105479,3035
nl_caselaw,338694761,105005,3225
pl_caselaw,212977774,105479,2019
pt_caselaw,303574704,104312,2910
ro_caselaw,187613531,105516,1778
sk_caselaw,205490717,105608,1945
sl_caselaw,192339474,105608,1821
sv_caselaw,276785972,105980,2611
all_caselaw,5465831562,2428444,2250
bg_decision,102781999,54075,1900
cs_decision,114330830,54075,2114
da_decision,161197980,54085,2980
de_decision,169687102,53980,3143
el_decision,182486411,54150,3370
en_decision,176469698,54054,3264
es_decision,147730710,54001,2735
et_decision,107752981,54159,1989
fi_decision,133158370,54163,2458
fr_decision,182025567,53981,3372
ga_decision,9132798,54189,168
hr_decision,61443063,54075,1136
hu_decision,112655714,54156,2080
it_decision,166154664,53983,3077
lt_decision,53711077,21841,2459
lv_decision,112930883,54224,2082
mt_decision,161249825,54280,2970
nl_decision,178362332,54152,3293
pl_decision,115926181,54287,2135
pt_decision,148950694,54007,2757
ro_decision,103349951,54281,1903
sk_decision,114735132,54349,2111
sl_decision,108465814,54349,1995
sv_decision,129521101,54357,2382
all_decision,3054210877,1267253,2410
bg_directive,28004882,4388,6382
cs_directive,28119441,4388,6408
da_directive,32246780,4388,7348
de_directive,32100715,4385,7320
el_directive,38513818,4390,8773
en_directive,28841387,4388,6572
es_directive,31679902,4385,7224
et_directive,25983417,4390,5918
fi_directive,30439964,4389,6935
fr_directive,34239059,4385,7808
ga_directive,2881950,4390,656
hr_directive,19255268,4388,4388
hu_directive,27421410,4389,6247
it_directive,31786252,4385,7248
lt_directive,13428712,2072,6481
lv_directive,27612314,4392,6286
mt_directive,45493266,4392,10358
nl_directive,33850801,4388,7714
pl_directive,29102885,4392,6626
pt_directive,31807446,4385,7253
ro_directive,27651600,4392,6295
sk_directive,27728158,4393,6311
sl_directive,25833250,4393,5880
sv_directive,28234600,4393,6427
all_directive,682257277,103020,6622
bg_intagr,54294524,11581,4688
cs_intagr,55008615,11581,4749
da_intagr,64738297,11582,5589
de_intagr,67188513,11580,5802
el_intagr,77738992,11584,6710
en_intagr,60504759,11581,5224
es_intagr,64131203,11581,5537
et_intagr,51558677,11584,4450
fi_intagr,56305341,11584,4860
fr_intagr,71340724,11580,6160
ga_intagr,3544433,11586,305
hr_intagr,44372755,11581,3831
hu_intagr,54481362,11586,4702
it_intagr,66036352,11580,5702
lt_intagr,33148829,4051,8182
lv_intagr,54724543,11630,4705
mt_intagr,79787487,11675,6834
nl_intagr,70124352,11584,6053
pl_intagr,55384447,11680,4741
pt_intagr,61127624,11581,5278
ro_intagr,54663108,11675,4682
sk_intagr,54700961,11676,4684
sl_intagr,51487014,11676,4409
sv_intagr,54192873,11676,4641
all_intagr,1360585785,271055,5019
bg_proposal,103035900,29251,3522
cs_proposal,121367313,29252,4149
da_proposal,213540972,29257,7298
de_proposal,227441945,29219,7784
el_proposal,251594184,29290,8589
en_proposal,209851759,29242,7176
es_proposal,197060809,29224,6743
et_proposal,114597516,29283,3913
fi_proposal,161285908,29288,5506
fr_proposal,245293973,29218,8395
ga_proposal,51138741,29298,1745
hr_proposal,60718165,29251,2075
hu_proposal,120493483,29291,4113
it_proposal,224727845,29218,7691
lt_proposal,121316064,29272,4144
lv_proposal,120571107,29298,4115
mt_proposal,192699148,29274,6582
nl_proposal,239464702,29279,8178
pl_proposal,125097572,29317,4267
pt_proposal,200827190,29224,6871
ro_proposal,106000393,29274,3620
sk_proposal,123177145,29290,4205
sl_proposal,114959046,29290,3924
sv_proposal,155339680,29292,5303
all_proposal,3801600560,702392,5412
bg_recommendation,9061227,3321,2728
cs_recommendation,10216343,3323,3074
da_recommendation,16169558,3352,4823
de_recommendation,16914583,3318,5097
el_recommendation,17742091,3357,5285
en_recommendation,14694658,3320,4426
es_recommendation,12355655,3319,3722
et_recommendation,9717239,3355,2896
fi_recommendation,11623296,3356,3463
fr_recommendation,18413965,3318,5549
ga_recommendation,1770503,3361,526
hr_recommendation,6313739,3321,1901
hu_recommendation,10294766,3357,3066
it_recommendation,16724986,3318,5040
lt_recommendation,10187341,3363,3029
lv_recommendation,10221637,3361,3041
mt_recommendation,16698859,3363,4965
nl_recommendation,18213240,3355,5428
pl_recommendation,10633172,3363,3161
pt_recommendation,12520469,3319,3772
ro_recommendation,9634151,3363,2864
sk_recommendation,10522604,3364,3128
sl_recommendation,9802044,3364,2913
sv_recommendation,12681607,3366,3767
all_recommendation,293127733,80277,3651
bg_regulation,207042971,141641,1461
cs_regulation,396148881,242655,1632
da_regulation,392996678,141602,2775
de_regulation,408718444,141580,2886
el_regulation,423901881,141758,2990
en_regulation,354547542,141634,2503
es_regulation,311956294,141621,2202
et_regulation,214049801,141733,1510
fi_regulation,253397011,141734,1787
fr_regulation,431991865,141585,3051
ga_regulation,59604120,141749,420
hr_regulation,179430971,141641,1266
hu_regulation,212375546,141682,1498
it_regulation,411922153,141587,2909
lt_regulation,155891516,54741,2847
lv_regulation,220912179,141772,1558
mt_regulation,325500306,141829,2295
nl_regulation,439173514,141644,3100
pl_regulation,231536432,141831,1632
pt_regulation,316687993,141621,2236
ro_regulation,224135126,141799,1580
sk_regulation,226963018,141890,1599
sl_regulation,216648769,141894,1526
sv_regulation,253315742,141987,1784
all_regulation,6868848753,3415210,2011
bg_all,683675086,348691,1960
cs_all,934087127,449793,2076
da_all,927426056,303594,3054
de_all,1259810918,348290,3617
el_all,1378107391,349667,3941
en_all,1161691945,348641,3332
es_all,1077415710,348443,3092
et_all,712559412,349615,2038
fi_all,926601752,349633,2650
fr_all,1383610076,348295,3972
ga_all,129394560,349778,369
hr_all,479668409,348691,1375
hu_all,744676866,349605,2130
it_all,963423333,303187,3177
lt_all,590271724,220817,2673
lv_all,752446195,349919,2150
mt_all,1141585121,350292,3258
nl_all,1317883702,349407,3771
pl_all,780658463,350349,2228
pt_all,1075496120,348449,3086
ro_all,713047860,350300,2035
sk_all,763317735,350570,2177
sl_all,719535411,350574,2052
sv_all,910071575,351051,2592
all_all,21526462547,8267651,2603
